"","sector_abbr","bin_id","year","economic_lifetime_yrs","loan_term_yrs","loan_interest_rate","down_payment_fraction","tax_rate","real_discount_rate"
"1","com",99,2014,30,30,0.014634146,1,0.257,0.031
"2","com",99,2016,30,30,0.014634146,1,0.257,0.031
"3","com",99,2018,30,30,0.014634146,1,0.257,0.031
"4","com",99,2020,30,30,0.014634146,1,0.257,0.031
"5","com",99,2022,30,30,0.014634146,1,0.257,0.031
"6","com",99,2024,30,30,0.014634146,1,0.257,0.031
"7","com",99,2026,30,30,0.014634146,1,0.257,0.031
"8","com",99,2028,30,30,0.014634146,1,0.257,0.031
"9","com",99,2030,30,30,0.014634146,1,0.257,0.031
"10","com",99,2032,30,30,0.014634146,1,0.257,0.031
"11","com",99,2034,30,30,0.014634146,1,0.257,0.031
"12","com",99,2036,30,30,0.014634146,1,0.257,0.031
"13","com",99,2038,30,30,0.014634146,1,0.257,0.031
"14","com",99,2040,30,30,0.014634146,1,0.257,0.031
"15","com",99,2042,30,30,0.014634146,1,0.257,0.031
"16","com",99,2044,30,30,0.014634146,1,0.257,0.031
"17","com",99,2046,30,30,0.014634146,1,0.257,0.031
"18","com",99,2048,30,30,0.014634146,1,0.257,0.031
"19","com",99,2050,30,30,0.014634146,1,0.257,0.031
"20","res",1,2014,30,30,0.014634146,1,0.257,0.03552
"21","res",1,2016,30,30,0.014634146,1,0.257,0.03552
"22","res",1,2018,30,30,0.014634146,1,0.257,0.03552
"23","res",1,2020,30,30,0.014634146,1,0.257,0.03552
"24","res",1,2022,30,30,0.014634146,1,0.257,0.03552
"25","res",1,2024,30,30,0.014634146,1,0.257,0.03552
"26","res",1,2026,30,30,0.014634146,1,0.257,0.03552
"27","res",1,2028,30,30,0.014634146,1,0.257,0.03552
"28","res",1,2030,30,30,0.014634146,1,0.257,0.03552
"29","res",1,2032,30,30,0.014634146,1,0.257,0.03552
"30","res",1,2034,30,30,0.014634146,1,0.257,0.03552
"31","res",1,2036,30,30,0.014634146,1,0.257,0.03552
"32","res",1,2038,30,30,0.014634146,1,0.257,0.03552
"33","res",1,2040,30,30,0.014634146,1,0.257,0.03552
"34","res",1,2042,30,30,0.014634146,1,0.257,0.03552
"35","res",1,2044,30,30,0.014634146,1,0.257,0.03552
"36","res",1,2046,30,30,0.014634146,1,0.257,0.03552
"37","res",1,2048,30,30,0.014634146,1,0.257,0.03552
"38","res",1,2050,30,30,0.014634146,1,0.257,0.03552
"39","res",10,2014,30,30,0.014634146,1,0.257,1
"40","res",10,2016,30,30,0.014634146,1,0.257,1
"41","res",10,2018,30,30,0.014634146,1,0.257,1
"42","res",10,2020,30,30,0.014634146,1,0.257,1
"43","res",10,2022,30,30,0.014634146,1,0.257,1
"44","res",10,2024,30,30,0.014634146,1,0.257,1
"45","res",10,2026,30,30,0.014634146,1,0.257,1
"46","res",10,2028,30,30,0.014634146,1,0.257,1
"47","res",10,2030,30,30,0.014634146,1,0.257,1
"48","res",10,2032,30,30,0.014634146,1,0.257,0.02451
"49","res",10,2034,30,30,0.014634146,1,0.257,0.02451
"50","res",10,2036,30,30,0.014634146,1,0.257,0.02451
"51","res",10,2038,30,30,0.014634146,1,0.257,0.02451
"52","res",10,2040,30,30,0.014634146,1,0.257,0.02451
"53","res",10,2042,30,30,0.014634146,1,0.257,0.02451
"54","res",10,2044,30,30,0.014634146,1,0.257,0.02451
