year,system_capex_per_kw_res,system_capex_per_kw_com,system_capex_per_kw_ind,system_om_per_kw_res,system_om_per_kw_com,system_om_per_kw_ind,system_variable_om_per_kw_res,system_variable_om_per_kw_com,system_variable_om_per_kw_ind
2014,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2015,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2016,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2017,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2018,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2019,2796.245071,1812.523781,1812.523781,21,13,13,0,0,0
2020,2620.0098,1720.098231,1720.098231,19.6500735,12.33311377,12.33311377,0,0,0
2021,2443.774528,1627.672681,1627.672681,18.32830896,11.67042207,11.67042207,0,0,0
2022,2267.539256,1535.247131,1535.247131,17.00654442,11.00773037,11.00773037,0,0,0
2023,2091.303985,1442.821581,1442.821581,15.68477989,10.34503867,10.34503867,0,0,0
2024,1915.068713,1350.396032,1350.396032,14.36301535,9.682346965,9.682346965,0,0,0
2025,1738.833441,1257.970482,1257.970482,13.04125081,9.019655265,9.019655265,0,0,0
2026,1562.59817,1165.544932,1165.544932,11.71948627,8.356963565,8.356963565,0,0,0
2027,1386.362898,1073.119382,1073.119382,10.39772174,7.694271865,7.694271865,0,0,0
2028,1210.127627,980.6938323,980.6938323,9.0759572,7.031580165,7.031580165,0,0,0
2029,1033.892355,888.2682824,888.2682824,7.754192662,6.368888465,6.368888465,0,0,0
2030,857.6570834,795.8427326,795.8427326,6.432428125,5.706196765,5.706196765,0,0,0
2031,844.8952753,785.3689243,785.3689243,6.336714564,5.631099502,5.631099502,0,0,0
2032,832.1334672,774.8951159,774.8951159,6.241001004,5.556002238,5.556002238,0,0,0
2033,819.371659,764.4213076,764.4213076,6.145287443,5.480904975,5.480904975,0,0,0
2034,806.6098509,753.9474993,753.9474993,6.049573882,5.405807712,5.405807712,0,0,0
2035,793.8480428,743.4736909,743.4736909,5.953860321,5.330710448,5.330710448,0,0,0
2036,781.0862347,732.9998826,732.9998826,5.85814676,5.255613185,5.255613185,0,0,0
2037,768.3244266,722.5260743,722.5260743,5.7624332,5.180515922,5.180515922,0,0,0
2038,755.5626185,712.0522659,712.0522659,5.666719639,5.105418659,5.105418659,0,0,0
2039,742.8008104,701.5784576,701.5784576,5.571006078,5.030321395,5.030321395,0,0,0
2040,730.0390023,691.1046493,691.1046493,5.475292517,4.955224132,4.955224132,0,0,0
2041,717.2771942,680.630841,680.630841,5.379578957,4.880126869,4.880126869,0,0,0
2042,704.5153861,670.1570326,670.1570326,5.283865396,4.805029606,4.805029606,0,0,0
2043,691.753578,659.6832243,659.6832243,5.188151835,4.729932342,4.729932342,0,0,0
2044,678.9917699,649.209416,649.209416,5.092438274,4.654835079,4.654835079,0,0,0
2045,666.2299618,638.7356076,638.7356076,4.996724713,4.579737816,4.579737816,0,0,0
2046,653.4681537,628.2617993,628.2617993,4.901011153,4.504640552,4.504640552,0,0,0
2047,640.7063456,617.787991,617.787991,4.805297592,4.429543289,4.429543289,0,0,0
2048,627.9445375,607.3141826,607.3141826,4.709584031,4.354446026,4.354446026,0,0,0
2049,615.1827294,596.8403743,596.8403743,4.61387047,4.279348763,4.279348763,0,0,0
2050,602.4209213,586.366566,586.366566,4.518156909,4.204251499,4.204251499,0,0,0
