year,system_capex_per_kw_res,system_capex_per_kw_com,system_capex_per_kw_ind,system_om_per_kw_res,system_om_per_kw_com,system_om_per_kw_ind,system_variable_om_per_kw_res,system_variable_om_per_kw_com,system_variable_om_per_kw_ind
2014,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2015,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2016,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2017,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2018,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2019,2796.245071,1812.523781,1812.523781,21,13,13,0,0,0
2020,2644.278663,1742.055167,1742.055167,19.83208997,12.49054512,12.49054512,0,0,0
2021,2492.312255,1671.586554,1671.586554,18.69234191,11.98528477,11.98528477,0,0,0
2022,2340.345847,1601.11794,1601.11794,17.55259385,11.48002443,11.48002443,0,0,0
2023,2188.379439,1530.649327,1530.649327,16.41284579,10.97476408,10.97476408,0,0,0
2024,2036.413031,1460.180714,1460.180714,15.27309773,10.46950374,10.46950374,0,0,0
2025,1884.446623,1389.7121,1389.7121,14.13334967,9.964243393,9.964243393,0,0,0
2026,1732.480214,1319.243487,1319.243487,12.99360161,9.458983047,9.458983047,0,0,0
2027,1580.513806,1248.774873,1248.774873,11.85385355,8.953722702,8.953722702,0,0,0
2028,1428.547398,1178.30626,1178.30626,10.71410549,8.448462357,8.448462357,0,0,0
2029,1276.58099,1107.837646,1107.837646,9.574357426,7.943202011,7.943202011,0,0,0
2030,1124.614582,1037.369033,1037.369033,8.434609365,7.437941666,7.437941666,0,0,0
2031,1111.266707,1025.292718,1025.292718,8.334500303,7.351354421,7.351354421,0,0,0
2032,1097.918832,1013.216403,1013.216403,8.234391241,7.264767176,7.264767176,0,0,0
2033,1084.570957,1001.140088,1001.140088,8.134282179,7.17817993,7.17817993,0,0,0
2034,1071.223082,989.0637729,989.0637729,8.034173117,7.091592685,7.091592685,0,0,0
2035,1057.875207,976.9874579,976.9874579,7.934064055,7.00500544,7.00500544,0,0,0
2036,1044.527332,964.9111429,964.9111429,7.833954993,6.918418195,6.918418195,0,0,0
2037,1031.179457,952.8348279,952.8348279,7.733845931,6.83183095,6.83183095,0,0,0
2038,1017.831583,940.7585128,940.7585128,7.633736869,6.745243705,6.745243705,0,0,0
2039,1004.483708,928.6821978,928.6821978,7.533627807,6.65865646,6.65865646,0,0,0
2040,991.1358327,916.6058828,916.6058828,7.433518745,6.572069215,6.572069215,0,0,0
2041,977.7879578,904.5295678,904.5295678,7.333409683,6.48548197,6.48548197,0,0,0
2042,964.4400828,892.4532528,892.4532528,7.233300621,6.398894725,6.398894725,0,0,0
2043,951.0922079,880.3769377,880.3769377,7.133191559,6.31230748,6.31230748,0,0,0
2044,937.744333,868.3006227,868.3006227,7.033082497,6.225720235,6.225720235,0,0,0
2045,924.396458,856.2243077,856.2243077,6.932973435,6.13913299,6.13913299,0,0,0
2046,911.0485831,844.1479927,844.1479927,6.832864373,6.052545745,6.052545745,0,0,0
2047,897.7007082,832.0716777,832.0716777,6.732755311,5.9659585,5.9659585,0,0,0
2048,884.3528332,819.9953626,819.9953626,6.632646249,5.879371255,5.879371255,0,0,0
2049,871.0049583,807.9190476,807.9190476,6.532537187,5.79278401,5.79278401,0,0,0
2050,857.6570834,795.8427326,795.8427326,6.432428125,5.706196765,5.706196765,0,0,0
