ba,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p1,0.029313789965,0.029313789965,0.029313789965,0.029313789965,0.029313789965,0.027265751959,0.025217713953,0.024927131028,0.024636548103,0.0278412253165,0.03104590253,0.0324227815765,0.033799660623,0.0331604462425,0.032521231862,0.030652772163,0.028784312464,0.028453448735,0.028122585006,0.0290628604715,0.030003135937,0.0308452787,0.031687421463,0.0322124290735,0.032737436684,0.03293806958,0.033138702476,0.0334036369895,0.033668571503,0.0338080653285,0.033947559154,0.0335142322725,0.033080905391,0.0327604481675,0.032439990944,0.0342658541865,0.036091717429
p10,0.032192850928,0.032192850928,0.032192850928,0.032192850928,0.032192850928,0.0295205538935,0.026848256859,0.0267409798145,0.02663370277,0.032360125409,0.038086548048,0.039277730915,0.040468913782,0.0394434557285,0.038417997675,0.035617490246,0.032816982817,0.0323468009015,0.031876618986,0.032926072352,0.033975525718,0.035325123259,0.0366747208,0.037295753607,0.037916786414,0.038254527329,0.038592268244,0.038509854542,0.03842744084,0.038691078475,0.03895471611,0.039177229019,0.039399741928,0.037921158734,0.03644257554,0.037336889935,0.03823120433
p100,0.033469940215,0.033469940215,0.033469940215,0.033469940215,0.033469940215,0.0316088157235,0.029747691232,0.0297246250805,0.029701558929,0.0321183456155,0.034535132302,0.0344117051445,0.034288277987,0.034830882746,0.035373487505,0.033603636237,0.031833784969,0.0317714836605,0.031709182352,0.0321095681025,0.032509953853,0.032927924824,0.033345895795,0.0338471189425,0.03434834209,0.034156506532,0.033964670974,0.034067321582,0.03416997219,0.034373727855,0.03457748352,0.036578684345,0.03857988517,0.038696681035,0.0388134769,0.038665522725,0.03851756855
p101,0.035913667395,0.035913667395,0.035913667395,0.035913667395,0.035913667395,0.033355984344,0.030798301293,0.0312176742675,0.031637047242,0.034019092813,0.036401138384,0.0374499792915,0.038498820199,0.0387819665135,0.039065112828,0.0360448580615,0.033024603295,0.0326656343435,0.032306665392,0.0325437137,0.032780762008,0.0326946984985,0.032608634989,0.0314325455175,0.030256456046,0.029887242777,0.029518029508,0.030297221603,0.031076413698,0.0313237929215,0.031571172145,0.0314982963925,0.03142542064,0.032273519115,0.03312161759,0.0330535558,0.03298549401
p102,0.034971474869,0.034971474869,0.034971474869,0.034971474869,0.034971474869,0.032480181853,0.029988888837,0.030433422968,0.030877957099,0.0331690192495,0.0354600814,0.036480316027,0.037500550654,0.0377717053125,0.038042859971,0.035135441901,0.032228023831,0.0318537971395,0.031479570448,0.0317011909985,0.031922811549,0.031837081272,0.031751350995,0.03060605321,0.029460755425,0.0291012454425,0.02874173546,0.029500500685,0.03025926591,0.030500117327,0.030740968744,0.030776222827,0.03081147691,0.03184399575,0.03287651459,0.032648659395,0.0324208042
p103,0.034006841692,0.034006841692,0.034006841692,0.034006841692,0.034006841692,0.031745187183,0.029483532674,0.029676390466,0.029869248258,0.031720572713,0.033571897168,0.0346836415165,0.035795385865,0.0367634580875,0.03773153031,0.0359970007005,0.034262471091,0.0345285129965,0.034794554902,0.0351641913835,0.035533827865,0.0358120718755,0.036090315886,0.0359941445235,0.035897973161,0.0359350340035,0.035972094846,0.0362958304605,0.036619566075,0.036966755749,0.037313945423,0.03710462055,0.036895295677,0.0379022618755,0.038909228074,0.0386067263095,0.038304224545
p104,0.032484762813,0.032484762813,0.032484762813,0.032484762813,0.032484762813,0.03068503772,0.028885312627,0.028991121158,0.029096929689,0.030807308511,0.032517687333,0.0332764184645,0.034035149596,0.034456989877,0.034878830158,0.032843386262,0.030807942366,0.031305592729,0.031803243092,0.032160222346,0.0325172016,0.032909418025,0.03330163445,0.03344694668,0.03359225891,0.0333441369785,0.033096015047,0.0334227193785,0.03374942371,0.033903858275,0.03405829284,0.0339273776675,0.033796462495,0.034729835649,0.035663208803,0.0353901248345,0.035117040866
p105,0.032667643745,0.032667643745,0.032667643745,0.032667643745,0.032667643745,0.0308235102515,0.028979376758,0.029093939617,0.029208502476,0.03126358989,0.033318677304,0.0337427868485,0.034166896393,0.0349924148945,0.035817933396,0.0339816685575,0.032145403719,0.03232627713,0.032507150541,0.0329949160895,0.033482681638,0.0337988600635,0.034115038489,0.0342033307145,0.03429162294,0.0340569769415,0.033822330943,0.0341526685465,0.03448300615,0.034868762815,0.03525451948,0.03522552922,0.03519653896,0.035608659535,0.03602078011,0.035662554965,0.03530432982
p106,0.032432433004,0.032432433004,0.032432433004,0.032432433004,0.032432433004,0.0306682598645,0.028904086725,0.0290011945945,0.029098302464,0.030399604323,0.031700906182,0.0326667499395,0.033632593697,0.0340362049295,0.034439816162,0.0328203356485,0.031200855135,0.031532795968,0.031864736801,0.032159364701,0.032453992601,0.032732587827,0.033011183053,0.033149200172,0.033287217291,0.033041949838,0.032796682385,0.0331629130695,0.033529143754,0.034138279952,0.03474741615,0.034764520235,0.03478162432,0.03520755073,0.03563347714,0.035284908105,0.03493633907
p107,0.031384041478,0.031384041478,0.031384041478,0.031384041478,0.031384041478,0.029677519043,0.027970996608,0.028065227783,0.028159458958,0.0302018537335,0.032244248509,0.032632047812,0.033019847115,0.0338786508335,0.034737454552,0.0330041891225,0.031270923693,0.0313881391905,0.031505354688,0.031966805182,0.032428255676,0.032733482455,0.033038709234,0.0331308841765,0.033223059119,0.032968115209,0.032713171299,0.0330782648695,0.03344335844,0.033768160835,0.03409296323,0.034258819375,0.03442467552,0.034812204195,0.03519973287,0.03510640874,0.03501308461
