ba,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p1,0.029313789965,0.029313789965,0.029313789965,0.029313789965,0.029313789965,0.027265751959,0.025217713953,0.0249270440905,0.024636374228,0.0278977868765,0.031159199525,0.0326657773305,0.034172355136,0.033796654065,0.033420952994,0.0321995154165,0.030978077839,0.031087909845,0.031197741851,0.0320462026785,0.032894663506,0.0333334899995,0.033772316493,0.034018701074,0.034265085655,0.034617365337,0.034969645019,0.03522697938,0.035484313741,0.0356270176215,0.035769721502,0.0350400022215,0.034310282941,0.034720970067,0.035131657193,0.035458733724,0.035785810255
p10,0.032192850928,0.032192850928,0.032192850928,0.032192850928,0.032192850928,0.0295205538935,0.026848256859,0.0267410016995,0.02663374654,0.032913777257,0.039193807974,0.0403920182785,0.041590228583,0.041303918308,0.041017608033,0.038882499076,0.036747390119,0.0364601125685,0.036172835018,0.0371287933525,0.038084751687,0.038849173117,0.039613594547,0.0396620313775,0.039710468208,0.039951231622,0.040191995036,0.0414004020835,0.042608809131,0.042618555476,0.042628301821,0.0420793646785,0.041530427536,0.041656624608,0.04178282168,0.041557365935,0.04133191019
p100,0.033469940215,0.033469940215,0.033469940215,0.033469940215,0.033469940215,0.0316086987735,0.029747457332,0.029725947995,0.029704438658,0.032436629116,0.035168819574,0.0352866326435,0.035404445713,0.035879853319,0.036355260925,0.0356662636735,0.034977266422,0.035073634602,0.035170002782,0.035527619688,0.035885236594,0.036016685401,0.036148134208,0.0367082549685,0.037268375729,0.037132819645,0.036997263561,0.0374145106155,0.03783175767,0.03757417202,0.03731658637,0.0393330499135,0.041349513457,0.041522414777,0.041695316097,0.0412182745785,0.04074123306
p101,0.035913667395,0.035913667395,0.035913667395,0.035913667395,0.035913667395,0.0333560078935,0.030798348392,0.0312177375905,0.031637126789,0.0344707645265,0.037304402264,0.038463267718,0.039622133172,0.0400613239165,0.040500514661,0.0388807061575,0.037260897654,0.036955164987,0.03664943232,0.036426084102,0.036202735884,0.0365247855175,0.036846835151,0.036779667792,0.036712500433,0.0368074017385,0.036902303044,0.036469368497,0.03603643395,0.033916351433,0.031796268916,0.0301827443805,0.028569219845,0.0278582609675,0.02714730209,0.03084091959,0.03453453709
p102,0.034971474869,0.034971474869,0.034971474869,0.034971474869,0.034971474869,0.032480204457,0.029988934045,0.0304334842665,0.030878034488,0.03371912527,0.036560216052,0.037737631566,0.03891504708,0.0391816777965,0.039448308513,0.037885127826,0.036321947139,0.0360186615195,0.0357153759,0.035489192566,0.035263009232,0.035576152254,0.035889295276,0.035819669073,0.03575004287,0.035983694635,0.0362173464,0.035792254185,0.03536716197,0.033163667812,0.030960173654,0.029397465948,0.027834758242,0.0272109813565,0.026587204471,0.0302903160205,0.03399342757
p103,0.034006841692,0.034006841692,0.034006841692,0.034006841692,0.034006841692,0.0317453847135,0.029483927735,0.029676597083,0.029869266431,0.032061994428,0.034254722425,0.0356117212775,0.03696872013,0.037546556086,0.038124392042,0.0378636875585,0.037602983075,0.0379990572895,0.038395131504,0.0382159947055,0.038036857907,0.037897522489,0.037758187071,0.038136692761,0.038515198451,0.038631949505,0.038748700559,0.0390231401685,0.039297579778,0.039377560442,0.039457541106,0.040787994183,0.04211844726,0.042725519875,0.04333259249,0.042330289737,0.041327986984
p104,0.032484762813,0.032484762813,0.032484762813,0.032484762813,0.032484762813,0.0306846782835,0.028884593754,0.0289910016715,0.029097409589,0.031051740163,0.033006070737,0.0338563379085,0.03470660508,0.0353590084765,0.036011411873,0.0350887954575,0.034166179042,0.0345392014135,0.034912223785,0.0350057768245,0.035099329864,0.035164875249,0.035230420634,0.035512969457,0.03579551828,0.035877270145,0.03595902201,0.03608740313,0.03621578425,0.036216036715,0.03621628918,0.037190520394,0.038164751608,0.038908335949,0.03965192029,0.038755914835,0.03785990938
p105,0.032667643745,0.032667643745,0.032667643745,0.032667643745,0.032667643745,0.0308229982805,0.028978352816,0.0290933672755,0.029208381735,0.03150071272,0.033793043705,0.034309338433,0.034825633161,0.035473034195,0.036120435229,0.0356996319815,0.035278828734,0.035357099371,0.035435370008,0.035598827217,0.035762284426,0.0359689423935,0.036175600361,0.0365919366505,0.03700827294,0.036854323925,0.03670037491,0.036895432795,0.03709049068,0.037066194515,0.03704189835,0.0377017528025,0.038361607255,0.038883314686,0.039405022117,0.0385391938935,0.03767336567
p106,0.032432433004,0.032432433004,0.032432433004,0.032432433004,0.032432433004,0.030668238984,0.028904044964,0.029001107758,0.029098170552,0.030963044363,0.032827918174,0.0333797550745,0.033931591975,0.0345471177025,0.03516264343,0.034554190955,0.03394573848,0.0342063979035,0.034467057327,0.0347750353505,0.035083013374,0.0351073957455,0.035131778117,0.0355100282235,0.03588827833,0.035744779555,0.03560128078,0.035767201745,0.03593312271,0.0359320411,0.03593095949,0.0366433860465,0.037355812603,0.038126167694,0.038896522785,0.0377462913325,0.03659605988
p107,0.031384041478,0.031384041478,0.031384041478,0.031384041478,0.031384041478,0.0296774927775,0.027970944077,0.0280651376625,0.028159331248,0.0304377383855,0.032716145523,0.033206974323,0.033697803123,0.0342836998925,0.034869596662,0.034530302429,0.034191008196,0.034235431747,0.034279855298,0.0344810197245,0.034682184151,0.0349043221185,0.035126460086,0.035543343373,0.03596022666,0.03582275611,0.03568528556,0.03585285512,0.03602042468,0.03601450316,0.03600858164,0.0367797552535,0.037550928867,0.0379256739385,0.03830041901,0.03776570421,0.03723098941
