ba,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p1,0.029315478435,0.029315478435,0.029315478435,0.029315478435,0.029315478435,0.0272609018285,0.025206325222,0.0249378147555,0.024669304289,0.0280735810565,0.031477857824,0.0331775372385,0.034877216653,0.0354146674385,0.035952118224,0.0353999010125,0.034847683801,0.0351510931735,0.035454502546,0.0359662867605,0.036478070975,0.036903895802,0.037329720629,0.03742655673,0.037523392831,0.0381466210755,0.03876984932,0.0389312600485,0.039092670777,0.039091639957,0.039090609137,0.037958991077,0.036827373017,0.0376214958485,0.03841561868,0.0385095738195,0.038603528959
p10,0.032168410215,0.032168410215,0.032168410215,0.032168410215,0.032168410215,0.0295166752005,0.026864940186,0.026772791938,0.02668064369,0.0338088769435,0.040937110197,0.042660852346,0.044384594495,0.0440858911155,0.043787187736,0.0425963831835,0.041405578631,0.0413743681095,0.041343157588,0.041637884704,0.04193261182,0.0427695870635,0.043606562307,0.0443526967635,0.04509883122,0.0452336389005,0.045368446581,0.0457826990035,0.046196951426,0.0475782535385,0.048959555651,0.0482037666705,0.04744797769,0.045850816495,0.0442536553,0.0453938229325,0.046533990565
p100,0.033478537831,0.033478537831,0.033478537831,0.033478537831,0.033478537831,0.0316281760375,0.029777814244,0.0297550070605,0.029732199877,0.032586722381,0.035441244885,0.036298487442,0.037155729999,0.0369149524585,0.036674174918,0.037224165721,0.037774156524,0.0385940398975,0.039413923271,0.0399478835835,0.040481843896,0.04081502194,0.041148199984,0.0416879488365,0.042227697689,0.0428852266165,0.043542755544,0.043606458549,0.043670161554,0.0440873456105,0.044504529667,0.0456609015605,0.046817273454,0.046268393587,0.04571951372,0.0465212624385,0.047323011157
p101,0.035921169107,0.035921169107,0.035921169107,0.035921169107,0.035921169107,0.0333578158025,0.030794462498,0.03122396258,0.031653462662,0.034769786976,0.03788611129,0.039697862188,0.041509613086,0.0414178058945,0.041325998703,0.0419311093795,0.042536220056,0.0420354933045,0.041534766553,0.0415338553775,0.041532944202,0.0423889401435,0.043244936085,0.0431969830335,0.043149029982,0.042951079219,0.042753128456,0.042678524593,0.04260392073,0.0427084365465,0.042812952363,0.0394760710815,0.0361391898,0.0336176622005,0.031096134601,0.0350961852855,0.03909623597
p102,0.034978748172,0.034978748172,0.034978748172,0.034978748172,0.034978748172,0.0324820510725,0.029985353973,0.030439685655,0.030894017337,0.034083695458,0.037273373579,0.039085430946,0.040897488313,0.0407673328895,0.040637177466,0.0410335982835,0.041430019101,0.040941866652,0.040453714203,0.0404203456765,0.04038697715,0.04115935731,0.04193173747,0.041932065506,0.041932393542,0.041753656789,0.041574920036,0.04153901601,0.041503111984,0.0415911324525,0.041679152921,0.0384340935355,0.03518903415,0.0327365485605,0.030284062971,0.0343675795005,0.03845109603
p103,0.034016303399,0.034016303399,0.034016303399,0.034016303399,0.034016303399,0.031755149136,0.029493994873,0.029689897024,0.029885799175,0.0327877698075,0.03568974044,0.0366395283525,0.037589316265,0.036776529426,0.035963742587,0.037382796107,0.038801849627,0.0395989473405,0.040396045054,0.040809595183,0.041223145312,0.04147766069,0.041732176068,0.0420741176685,0.042416059269,0.0424826701845,0.0425492811,0.04275481306,0.04296034502,0.042409579337,0.041858813654,0.0433641177525,0.044869421851,0.0453454585885,0.045821495326,0.0456720945605,0.045522693795
p104,0.032493948406,0.032493948406,0.032493948406,0.032493948406,0.032493948406,0.0306927954785,0.028891642551,0.029013214152,0.029134785753,0.0318543496905,0.034573913628,0.035405642446,0.036237371264,0.035553218956,0.034869066648,0.035673084541,0.036477102434,0.037440223071,0.038403343708,0.0387044078925,0.039005472077,0.0394097405225,0.039814008968,0.040251210719,0.04068841247,0.04083819211,0.04098797175,0.041186828823,0.041385685896,0.041499424358,0.04161316282,0.042307323395,0.04300148397,0.0430870757385,0.043172667507,0.0430648702585,0.04295707301
p105,0.032676245617,0.032676245617,0.032676245617,0.032676245617,0.032676245617,0.030831533687,0.028986821757,0.029116540604,0.029246259451,0.031938171849,0.034630084247,0.0354428986315,0.036255713016,0.036006326537,0.035756940058,0.0363632870965,0.036969634135,0.0378100235555,0.038650412976,0.038960357383,0.03927030179,0.039612253951,0.039954206112,0.0403538783535,0.040753550595,0.040882242671,0.041010934747,0.0411717037285,0.04133247271,0.0414275496365,0.041522626563,0.0421476250765,0.04277262359,0.04285485075,0.04293707791,0.042822208685,0.04270733946
p106,0.032441008639,0.032441008639,0.032441008639,0.032441008639,0.032441008639,0.030678156034,0.028915303429,0.0290200858875,0.029124868346,0.031677057066,0.034229245786,0.0351965170925,0.036163788399,0.035889952655,0.035616116911,0.0362868916295,0.036957666348,0.037882420367,0.038807174386,0.039087102915,0.039367031444,0.0398041045225,0.040241177601,0.040506421242,0.040771664883,0.0408079061185,0.040844147354,0.0410006004505,0.041157053547,0.041222766806,0.041288480065,0.0417614033275,0.04223432659,0.041414961655,0.04059559672,0.040449104785,0.04030261285
p107,0.031392326294,0.031392326294,0.031392326294,0.031392326294,0.031392326294,0.029687145555,0.027981964816,0.02808361266,0.028185260504,0.030842598958,0.033499937412,0.034308524045,0.035117110678,0.0348371649065,0.034557219135,0.0353419934265,0.036126767718,0.037032230895,0.037937694072,0.0382954986975,0.038653303323,0.038956501305,0.039259699287,0.039683162985,0.040106626683,0.04010427684,0.040101926997,0.0403072540555,0.040512581114,0.0407219053235,0.040931229533,0.0413158076915,0.04170038585,0.04166844601,0.04163650617,0.04166423353,0.04169196089
p108,0.032412257187,0.032412257187,0.032412257187,0.032412257187,0.032412257187,0.0308381481005,0.029264039014,0.0294108837535,0.029557728493,0.0325068330965,0.0354559377,0.0361400263915,0.036824115083,0.0365530655765,0.03628201607,0.0372796402755,0.038277264481,0.0392933254315,0.040309386382,0.040611587232,0.040913788082,0.0409691072025,0.041024426323,0.041315025438,0.041605624553,0.0416137793325,0.041621934112,0.041766308772,0.041910683432,0.04198087027,0.042051057108,0.042191939409,0.04233282171,0.041928509925,0.04152419814,0.041394406445,0.04126461475
p109,0.032910866896,0.032910866896,0.032910866896,0.032910866896,0.032910866896,0.0313503455465,0.029789824197,0.0299496505235,0.03010947685,0.033100355852,0.036091234854,0.0368441629075,0.037597090961,0.0373827524825,0.037168414004,0.038102565014,0.039036716024,0.039996120165,0.040955524306,0.0413164346825,0.041677345059,0.041697054755,0.041716764451,0.041884155587,0.042051546723,0.042053490625,0.042055434527,0.0421368234295,0.042218212332,0.0420654459505,0.041912679569,0.0422645369145,0.04261639426,0.04275442293,0.0428924516,0.042955678125,0.04301890465
p11,0.032592449646,0.032592449646,0.032592449646,0.032592449646,0.032592449646,0.02990753125,0.027222612854,0.027126974662,0.02703133647,0.0343648587945,0.041698381119,0.0434574330475,0.045216484976,0.044944460509,0.044672436042,0.043473002713,0.042273569384,0.0422351246335,0.042196679883,0.0424971160675,0.042797552252,0.043677524163,0.044557496074,0.045340785271,0.046124074468,0.046256126063,0.046388177658,0.046797492794,0.04720680793,0.0485842106195,0.049961613309,0.0491807769725,0.048399940636,0.046785108648,0.04517027666,0.046345196527,0.047520116394
p110,0.034306455759,0.034306455759,0.034306455759,0.034306455759,0.034306455759,0.032657903757,0.031009351755,0.030988286239,0.030967220723,0.033367891572,0.035768562421,0.0365569916925,0.037345420964,0.037072571833,0.036799722702,0.03746366085,0.038127598998,0.038961699997,0.039795800996,0.040213727963,0.04063165493,0.0409063609295,0.041181066929,0.0414807475115,0.041780428094,0.041716012465,0.041651596836,0.0418331155205,0.042014634205,0.042169699762,0.042324765319,0.0425208794695,0.04271699362,0.042695421365,0.04267384911,0.04266650999,0.04265917087
p111,0.033560281503,0.033560281503,0.033560281503,0.033560281503,0.033560281503,0.0318139028855,0.030067524268,0.0300755820625,0.030083639857,0.0327240545655,0.035364469274,0.036201574277,0.03703867928,0.0366966967985,0.036354714317,0.037030815155,0.037706915993,0.0385941251145,0.039481334236,0.0399999147325,0.040518495229,0.040753257013,0.040988018797,0.0413457630915,0.041703507386,0.04171114031,0.041718773234,0.041885060173,0.042051347112,0.0423654619265,0.042679576741,0.0431844640505,0.04368935136,0.043701819135,0.04371428691,0.04361972002,0.04352515313
p112,0.03292842087,0.03292842087,0.03292842087,0.03292842087,0.03292842087,0.0312157802145,0.029503139559,0.029555288508,0.029607437457,0.032210023133,0.034812608809,0.0356482597605,0.036483910712,0.0362211277465,0.035958344781,0.036655252593,0.037352160405,0.038260505103,0.039168849801,0.039571393526,0.039973937251,0.0401868458455,0.04039975444,0.0407674234005,0.041135092361,0.041147663148,0.041160233935,0.0413659293175,0.0415716247,0.0417452990625,0.041918973425,0.0425003053275,0.04308163723,0.043250842245,0.04342004726,0.043422400385,0.04342475351
p113,0.033186700625,0.033186700625,0.033186700625,0.033186700625,0.033186700625,0.0314605234735,0.029734346322,0.0297871437255,0.029839941129,0.032244160905,0.034648380681,0.0354875456005,0.03632671052,0.0360608761365,0.035795041753,0.0364793818855,0.037163722018,0.038050329117,0.038936936216,0.0393126415985,0.039688346981,0.039887122507,0.040085898033,0.04044357967,0.040801261307,0.0408143009785,0.04082734065,0.0410108638455,0.041194387041,0.0413569736155,0.04151956019,0.04212225838,0.04272495657,0.042903716625,0.04308247668,0.042987929045,0.04289338141
p114,0.032961679504,0.032961679504,0.032961679504,0.032961679504,0.032961679504,0.031241367358,0.029521055212,0.029574729894,0.029628404576,0.032066659112,0.034504913648,0.03533153811,0.036158162572,0.0358926177825,0.035627072993,0.0362898886715,0.03695270435,0.0378459553135,0.038739206277,0.0391346325985,0.03953005892,0.0397247696925,0.039919480465,0.040274738228,0.040629995991,0.040643786505,0.040657577019,0.0408394854415,0.041021393864,0.0411932326345,0.041365071405,0.0419343067675,0.04250354213,0.042714018495,0.04292449486,0.042808280205,0.04269206555
p115,0.032925795111,0.032925795111,0.032925795111,0.032925795111,0.032925795111,0.031848318803,0.030770842495,0.0304430184355,0.030115194376,0.032529786196,0.034944378016,0.035755171604,0.036565965192,0.036149128596,0.035732292,0.0363933907295,0.037054489459,0.0378894105775,0.038724331696,0.039219814694,0.039715297692,0.040040518542,0.040365739392,0.040793211395,0.041220683398,0.0412441992025,0.041267715007,0.0416349301305,0.042002145254,0.0423184958645,0.042634846475,0.0432917360025,0.04394862553,0.043783265785,0.04361790604,0.04354520425,0.04347250246
p116,0.03341149497,0.03341149497,0.03341149497,0.03341149497,0.03341149497,0.0317924903515,0.030173485733,0.03015062228,0.030127758827,0.0326365875295,0.035145416232,0.0359598177195,0.036774219207,0.0364994258705,0.036224632534,0.036858211963,0.037491791392,0.038316962968,0.039142134544,0.0396486651585,0.040155195773,0.0404162221515,0.04067724853,0.0410907638365,0.041504279143,0.041504856717,0.041505434291,0.041786334085,0.042067233879,0.0422424276155,0.042417621352,0.043116525056,0.04381542876,0.04366745325,0.04351947774,0.043495567585,0.04347165743
p117,0.033784908663,0.033784908663,0.033784908663,0.033784908663,0.033784908663,0.0321614995425,0.030538090422,0.030517126963,0.030496163504,0.033122463159,0.035748762814,0.036550197383,0.037351631952,0.0370563760875,0.036761120223,0.0374440210945,0.038126921966,0.038968797114,0.039810672262,0.04025256431,0.040694456358,0.040969085642,0.041243714926,0.041670783031,0.042097851136,0.0420911064145,0.042084361693,0.042339866911,0.042595372129,0.0427477195475,0.042900066966,0.043363222753,0.04382637854,0.04375764014,0.04368890174,0.04354202862,0.0433951555
p118,0.034768698693,0.034768698693,0.034768698693,0.034768698693,0.034768698693,0.0330661268375,0.031363554982,0.03135976504,0.031355975098,0.0340859193895,0.036815863681,0.0376365686915,0.038457273702,0.038155906457,0.037854539212,0.038559922258,0.039265305304,0.040133633121,0.041001960938,0.041458124078,0.041914287218,0.042194203791,0.042474120364,0.042906565247,0.04333901013,0.0437623419,0.04418567367,0.044328754989,0.044471836308,0.0447762428925,0.045080649477,0.0459186223365,0.046756595196,0.046255985573,0.04575537595,0.046312469677,0.046869563404
p119,0.033980658222,0.033980658222,0.033980658222,0.033980658222,0.033980658222,0.0323988981685,0.030817138115,0.03042772325,0.030038308385,0.0326627165865,0.035287124788,0.0361614250855,0.037035725383,0.0366613630295,0.036287000676,0.0367409195105,0.037194838345,0.0380156105525,0.03883638276,0.039888867955,0.04094135315,0.0414996161265,0.042057879103,0.042799182791,0.043540486479,0.0436835957845,0.04382670509,0.0439366726485,0.044046640207,0.0436292374385,0.04321183467,0.043718006365,0.04422417806,0.04367325782,0.04312233758,0.042998815405,0.04287529323
p12,0.031429393236,0.031429393236,0.031429393236,0.031429393236,0.031429393236,0.0292350313975,0.027040669559,0.02674605809,0.026451446621,0.030935526833,0.035419607045,0.0371327629375,0.03884591883,0.039219847518,0.039593776206,0.0387690557285,0.037944335251,0.0381389611985,0.038333587146,0.0388574826535,0.039381378161,0.0398167876895,0.040252197218,0.0399979574735,0.039743717729,0.0404989704475,0.041254223166,0.0410269048945,0.040799586623,0.0403333644355,0.039867142248,0.0388712599015,0.037875377555,0.0386282386025,0.03938109965,0.039506469495,0.03963183934
p120,0.034118931306,0.034118931306,0.034118931306,0.034118931306,0.034118931306,0.032730873354,0.031342815402,0.0309529716625,0.030563127923,0.0332177510845,0.035872374246,0.0367933022875,0.037714230329,0.0373791320475,0.037044033766,0.0374950592315,0.037946084697,0.0387827768495,0.039619469002,0.040261259965,0.040903050928,0.0412969327165,0.041690814505,0.042205384034,0.042719953563,0.0427200685325,0.042720183502,0.043008542228,0.043296900954,0.0434769490395,0.043656997125,0.0445778916725,0.04549878622,0.04496951093,0.04444023564,0.04452493848,0.04460964132
p121,0.034039792103,0.034039792103,0.034039792103,0.034039792103,0.034039792103,0.034078800433,0.034117808763,0.033212607861,0.032307406959,0.0340467898495,0.03578617274,0.0370175656775,0.038248958615,0.0376018746035,0.036954790592,0.0374011071505,0.037847423709,0.0386817077565,0.039515991804,0.0401556095585,0.040795227313,0.0411782167565,0.0415612062,0.0420729893035,0.042584772407,0.04259653724,0.042608302073,0.0428956853455,0.043183068618,0.0433571472395,0.043531225861,0.0444412544255,0.04535128299,0.04483671951,0.04432215603,0.044406554435,0.04449095284
